Product,Code,UnitCost,Inventory_Dapa,Ext Price,Notes
Groupset - Shimano Alivio Hollowtech w/hub,81316,7850,2,15700,
Groupset Disc brake Acera w/o hub,103467,6500,1,6500,
Frame Giant 17 inch,81057,6000,1,6000,17” only
Frame - Giant 16inch,200000,6000,1,6000,16” only
Bike 27 BlackComb Blaze MTB,81772,9200,2,18400,
Bike 20 - Calum Magnum BMX Orange,40099,3250,2,6500,
Bike 20 Calum swift,40143,3250,2,6500,
Bike 20 Calum Kinesis Steel,40144,3250,2,6500,
Disc Brake - Shimano 395 hyd no rotor,81573,1950,2,3900,
Bike 26 - City Bike kent,10012,3000,4,12000,
Bike 24 - City/Ladies Kent,40101,2950,4,11800,
Helmet Plain Colors yellow/Green,81500,470,4,1880,
Pedal 1/2 VP Carbonated asstd. color,40052,235,5,1175,
Rear Derailleur Shimano tz-50,10180,200,5,1000,
Kickstand mtb ord BLK,10226,38,5,190,
Tire 20 x 1.95 ORNATE color side,81215,160,10,1600,
Handle Post GT Class A BMX,81567,150,10,1500,
Tire 27 x 1 1/4 Duro,40208,140,10,1400,
vBrake Kent XTR,20064,125,10,1250,
Hub Rear 14G Japan,10357,82,10,820,
Tube 20 x 1.5 CST,81263,76,10,760,
Head Parts with Teeth Class A,81575,52,10,520,
Kickstand - BMX ord,10225,24,10,240,
Steel Balls 1/4 -# 12 Rear,20151,23,10,230,
Steel Balls 3/16 Front,10310,9,10,90,
Steel Ball - SB 5/32,40095,7,10,70,
Steel Ball - SB 1/8 inch,40096,5,10,50,
Tire 20x1.75 Colored Side,10156,118,20,2360,
Step Nut - Alloy Small,10263,76,20,1520,
Tire 24 x 1.3/8 DURO,10385,130,25,3250,
Axle Front 10g (twn),10235,15,30,450,
Tube 24 x 1.3/8 Duro,81171,58,50,2900,
Tube 20 x 1.75 Duro,10455,51,50,2550,
Tube 12 duro,10154,47,50,2350,
Rear Cup (blk) (each),10241,4.2,50,210,
Tube 20 x 2.125 - DURO KC,81129,56,100,5600,
Brake Shoe MTB Allen-type,10253,8.5,100,850,
Nut - Cotterless nut,10199,2.8,100,280,
Rear Axle Nut (Class A),10238,2,100,200,
Rear Axle Washer (ord),20032,1,100,100,
